iter	Passed	Remaining
0	149	149304
1	152	75918
2	154	51328
3	156	38939
4	158	31500
5	160	26545
6	162	23008
7	164	20386
8	166	18322
9	168	16689
10	170	15347
11	172	14227
12	175	13287
13	177	12509
14	179	11811
15	182	11203
16	184	10669
17	186	10182
18	188	9746
19	190	9349
20	193	9000
21	195	8682
22	197	8389
23	199	8118
24	201	7868
25	203	7638
26	206	7436
27	209	7256
28	211	7078
29	213	6916
30	216	6760
31	218	6621
32	221	6492
33	224	6378
34	226	6257
35	229	6146
36	232	6049
37	234	5943
38	237	5846
39	239	5756
40	242	5673
41	245	5592
42	247	5517
43	250	5442
44	253	5380
45	256	5318
46	258	5250
47	261	5184
48	263	5122
49	266	5063
50	269	5009
51	271	4954
52	274	4900
53	276	4846
54	278	4793
55	281	4746
56	284	4701
57	287	4667
58	290	4630
59	292	4588
60	295	4544
61	298	4509
62	301	4477
63	303	4440
64	306	4406
65	308	4371
66	311	4337
67	314	4310
68	317	4278
69	319	4247
70	322	4217
71	324	4187
72	327	4162
73	330	4139
74	333	4119
75	336	4095
76	339	4072
77	343	4061
78	346	4044
79	349	4023
80	352	4001
81	355	3980
82	359	3973
83	362	3958
84	365	3939
85	368	3919
86	371	3902
87	375	3888
88	379	3888
89	388	3929
90	392	3921
91	396	3911
92	399	3895
93	402	3880
94	406	3874
95	410	3862
96	413	3852
97	416	3837
98	420	3824
99	423	3810
100	426	3797
101	429	3783
102	432	3768
103	436	3757
104	439	3748
105	443	3736
106	447	3730
107	450	3723
108	454	3716
109	458	3707
110	461	3695
111	465	3691
112	469	3687
113	474	3689
114	478	3680
115	482	3677
116	486	3670
117	489	3659
118	492	3649
119	497	3645
120	500	3638
121	504	3631
122	507	3620
123	511	3612
124	516	3613
125	520	3613
126	524	3608
127	529	3604
128	534	3607
129	538	3600
130	545	3621
131	550	3620
132	554	3614
133	558	3611
134	562	3605
135	566	3598
136	569	3589
137	574	3586
138	578	3581
139	582	3575
140	585	3565
141	589	3560
142	592	3552
143	596	3544
144	599	3537
145	604	3533
146	608	3528
147	612	3524
148	616	3521
149	621	3520
150	624	3513
151	628	3506
152	632	3499
153	637	3503
154	641	3498
155	645	3492
156	649	3489
157	654	3486
158	659	3488
159	668	3509
160	672	3504
161	677	3502
162	684	3515
163	689	3513
164	694	3516
165	699	3516
166	704	3511
167	708	3506
168	714	3511
169	718	3507
170	722	3502
171	727	3500
172	731	3496
173	735	3492
174	739	3487
175	745	3488
176	748	3481
177	752	3476
178	757	3474
179	762	3471
180	766	3467
181	776	3489
182	786	3510
183	793	3520
184	798	3519
185	805	3526
186	811	3526
187	820	3542
188	825	3543
189	830	3538
190	834	3536
191	840	3537
192	845	3534
193	852	3542
194	859	3546
195	863	3543
196	869	3543
197	874	3541
198	879	3541
199	884	3538
200	888	3533
201	892	3527
202	897	3525
203	901	3519
204	906	3514
205	910	3508
206	915	3509
207	921	3507
208	925	3502
209	929	3498
210	933	3491
211	938	3489
212	945	3494
213	949	3486
214	953	3479
215	958	3479
216	962	3474
217	967	3469
218	972	3466
219	977	3467
220	983	3465
221	988	3463
222	993	3460
223	998	3457
224	1002	3451
225	1008	3452
226	1013	3449
227	1019	3450
228	1024	3449
229	1029	3446
230	1037	3454
231	1042	3451
232	1047	3447
233	1052	3446
234	1058	3447
235	1064	3444
236	1068	3441
237	1073	3436
238	1077	3431
239	1082	3426
240	1086	3421
241	1090	3416
242	1094	3410
243	1098	3404
244	1102	3398
245	1106	3391
246	1110	3385
247	1115	3381
248	1119	3375
249	1122	3368
250	1126	3362
251	1130	3356
252	1134	3350
253	1138	3343
254	1142	3338
255	1146	3332
256	1150	3326
257	1154	3320
258	1158	3314
259	1163	3310
260	1167	3306
261	1171	3300
262	1175	3295
263	1179	3289
264	1184	3284
265	1189	3281
266	1193	3275
267	1197	3270
268	1201	3264
269	1205	3260
270	1210	3255
271	1213	3248
272	1217	3241
273	1221	3236
274	1224	3228
275	1228	3221
276	1231	3215
277	1235	3209
278	1239	3203
279	1242	3196
280	1246	3189
281	1250	3183
282	1254	3178
283	1258	3172
284	1261	3165
285	1265	3159
286	1268	3152
287	1271	3144
288	1275	3137
289	1279	3132
290	1283	3126
291	1286	3119
292	1289	3112
293	1293	3105
294	1296	3099
295	1300	3092
296	1303	3084
297	1306	3077
298	1310	3072
299	1313	3065
300	1317	3058
301	1320	3052
302	1324	3046
303	1328	3041
304	1332	3035
305	1335	3028
306	1338	3021
307	1342	3017
308	1346	3011
309	1349	3004
310	1353	2998
311	1357	2994
312	1362	2990
313	1365	2984
314	1369	2978
315	1374	2974
316	1377	2968
317	1381	2963
318	1385	2958
319	1389	2953
320	1393	2947
321	1396	2941
322	1400	2935
323	1404	2930
324	1408	2924
325	1411	2917
326	1414	2910
327	1418	2906
328	1421	2900
329	1425	2894
330	1429	2889
331	1434	2885
332	1438	2880
333	1442	2876
334	1446	2871
335	1451	2867
336	1455	2862
337	1458	2856
338	1463	2853
339	1467	2848
340	1470	2842
341	1474	2836
342	1478	2832
343	1484	2830
344	1488	2825
345	1492	2820
346	1496	2816
347	1499	2810
348	1503	2803
349	1506	2797
350	1509	2791
351	1513	2785
352	1516	2779
353	1519	2773
354	1523	2768
355	1527	2763
356	1531	2757
357	1534	2752
358	1538	2747
359	1542	2742
360	1546	2737
361	1549	2731
362	1553	2726
363	1557	2721
364	1561	2716
365	1564	2710
366	1568	2704
367	1571	2699
368	1575	2693
369	1578	2687
370	1582	2682
371	1586	2678
372	1590	2673
373	1594	2669
374	1598	2664
375	1603	2660
376	1606	2654
377	1609	2648
378	1613	2644
379	1617	2638
